	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0174*
	(0.00899)
1.ID	-0.598
	(0.982)
2.ID	0.990
	(0.982)
3.ID	-0.990
	(0.982)
4.ID	0.990
	(0.982)
5.ID	-0.775
	(0.982)
6.ID	-0.990
	(0.982)
7.ID	0.990
	(0.982)
8.ID	-0.775
	(0.982)
9.ID	-0.990
	(0.982)
10.ID	1.498
	(0.982)
12.ID	1.498
	(0.982)
14.ID	0.990
	(0.982)
15.ID	-0.990
	(0.982)
16.ID	0.990
	(0.982)
17.ID	-0.990
	(0.982)
18.ID	-0.990
	(0.982)
19.ID	-0.775
	(0.982)
20.ID	0.990
	(0.982)
21.ID	-0.775
	(0.982)
22.ID	-0.598
	(0.982)
23.ID	0.990
	(0.982)
24.ID	0.990
	(0.982)
25.ID	-0.775
	(0.982)
26.ID	-1.644*
	(0.982)
27.ID	-0.990
	(0.982)
28.ID	-0.990
	(0.982)
29.ID	-0.990
	(0.982)
30.ID	-0.990
	(0.982)
31.ID	0.0818
	(0.982)
32.ID	0.990
	(0.982)
33.ID	0
	(1.389)
34.ID	0.990
	(0.982)
35.ID	-0.990
	(0.982)
36.ID	-0.990
	(0.982)
37.ID	-0.990
	(0.982)
38.ID	-0.990
	(0.982)
39.ID	0.990
	(0.982)
40.ID	0.990
	(0.982)
41.ID	-0.598
	(0.982)
42.ID	1.498
	(0.982)
43.ID	-0.990
	(0.982)
46.ID	-0.775
	(0.982)
47.ID	-1.264
	(0.982)
48.ID	0.990
	(0.982)
49.ID	0.990
	(0.982)
50.ID	0.990
	(0.982)
51.ID	-0.990
	(0.982)
52.ID	-0.775
	(0.982)
53.ID	0.990
	(0.982)
54.ID	-0.990
	(0.982)
55.ID	-0.990
	(0.982)
56.ID	0.990
	(0.982)
57.ID	-0.990
	(0.982)
58.ID	0.990
	(0.982)
59.ID	-0.317
	(0.982)
60.ID	-0.990
	(0.982)
61.ID	-0.990
	(0.982)
62.ID	-0.775
	(0.982)
63.ID	-0.990
	(0.982)
64.ID	1.276
	(0.982)
65.ID	-0.990
	(0.982)
66.ID	-0.775
	(0.982)
67.ID	0.990
	(0.982)
68.ID	0.587
	(0.982)
69.ID	-0.990
	(0.982)
70.ID	1.498
	(0.982)
71.ID	1.498
	(0.982)
72.ID	1.498
	(0.982)
73.ID	-0.990
	(0.982)
74.ID	1.498
	(0.982)
76.ID	-0.990
	(0.982)
77.ID	-0.882
	(0.987)
78.ID	-0.990
	(0.982)
79.ID	-0.990
	(0.982)
80.ID	0.990
	(0.982)
81.ID	-0.990
	(0.982)
82.ID	0.196
	(1.258)
83.ID	-0.775
	(0.982)
84.ID	0.990
	(0.982)
85.ID	0.990
	(0.982)
86.ID	0.990
	(0.982)
87.ID	0.990
	(0.982)
88.ID	1.498
	(0.982)
89.ID	-0.990
	(0.982)
90.ID	-0.882
	(0.987)
91.ID	0.366
	(0.982)
92.ID	-1.644*
	(0.982)
93.ID	-0.598
	(0.982)
94.ID	-0.990
	(0.982)
95.ID	1.498
	(0.982)
96.ID	-0.990
	(0.982)
97.ID	-1.775*
	(0.992)
98.ID	-0.0978
	(0.982)
99.ID	-0.990
	(0.982)
100.ID	-0.775
	(0.982)
101.ID	-0.990
	(0.982)
102.ID	-1.644*
	(0.982)
103.ID	-0.990
	(0.982)
104.ID	-0.990
	(0.982)
