	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00145
	(0.0127)
1.ID	-0.598
	(0.990)
2.ID	0.990
	(0.990)
3.ID	-0.990
	(0.990)
4.ID	0.990
	(0.990)
8.ID	-0.775
	(0.990)
9.ID	-0.990
	(0.990)
10.ID	1.498
	(0.990)
12.ID	0.362
	(1.509)
14.ID	0.990
	(0.990)
15.ID	-0.990
	(0.990)
16.ID	0.990
	(0.990)
17.ID	-0
	(1.401)
18.ID	-0.990
	(0.990)
19.ID	-0.775
	(0.990)
22.ID	-0.598
	(0.990)
24.ID	0.990
	(0.990)
25.ID	-0.775
	(0.990)
26.ID	-1.644*
	(0.990)
29.ID	-0.990
	(0.990)
31.ID	0.0818
	(0.990)
32.ID	0.990
	(0.990)
33.ID	0.990
	(0.990)
34.ID	0.990
	(0.990)
36.ID	-0.990
	(0.990)
37.ID	-0.990
	(0.990)
38.ID	-0.990
	(0.990)
39.ID	0.990
	(0.990)
41.ID	-0.598
	(0.990)
42.ID	1.498
	(0.990)
48.ID	0.990
	(0.990)
49.ID	0.990
	(0.990)
50.ID	0.990
	(0.990)
51.ID	-0.990
	(0.990)
53.ID	1.498
	(0.990)
54.ID	-0.990
	(0.990)
55.ID	-0.990
	(0.990)
56.ID	0.196
	(1.269)
59.ID	-0.317
	(0.990)
62.ID	-0.775
	(0.990)
63.ID	-0.990
	(0.990)
64.ID	0.990
	(0.990)
65.ID	-0.990
	(0.990)
66.ID	-0.775
	(0.990)
68.ID	0.587
	(0.990)
69.ID	-0.990
	(0.990)
72.ID	1.498
	(0.990)
74.ID	-0.0978
	(0.990)
84.ID	0.990
	(0.990)
85.ID	0.990
	(0.990)
86.ID	0.990
	(0.990)
87.ID	0.990
	(0.990)
89.ID	-0.990
	(0.990)
98.ID	-0.0978
	(0.990)
101.ID	-0.990
	(0.990)
102.ID	-1.644*
	(0.990)
104.ID	-0.990
	(0.990)
105.ID	-0.990
	(0.990)
107.ID	1.498
	(0.990)
110.ID	-1.644*
	(0.990)
112.ID	0.990
	(0.990)
118.ID	0.990
	(0.990)
119.ID	1.498
	(0.990)
120.ID	0.234
	(0.990)
121.ID	0.990
	(0.990)
122.ID	1.498
	(0.990)
125.ID	0.990
	(0.990)
126.ID	0.990
	(0.990)
127.ID	-1.644*
	(0.990)
128.ID	-0.775
	(0.990)
129.ID	0.990
	(0.990)
130.ID	-1.127
	(1.000)
135.ID	-0.990
	(0.990)
137.ID	0.990
	(0.990)
140.ID	-0.598
	(0.990)
142.ID	-0.990
	(0.990)
144.ID	-0.990
	(0.990)
145.ID	-0.775
	(0.990)
146.ID	0.108
	(1.327)
148.ID	0.990
	(0.990)
151.ID	-0.775
	(0.990)
153.ID	0.990
	(0.990)
154.ID	0.990
	(0.990)
156.ID	-0.990
	(0.990)
157.ID	0.990
	(0.990)
158.ID	0.990
	(0.990)
160.ID	0.990
	(0.990)
163.ID	-0.436
	(1.046)
164.ID	-0.990
	(0.990)
166.ID	0.990
	(0.990)
168.ID	0.990
	(0.990)
169.ID	0.990
	(0.990)
170.ID	-0.775
	(0.990)
173.ID	0.990
	(0.990)
174.ID	0.990
	(0.990)
175.ID	-0.775
	(0.990)
176.ID	-0.990
	(0.990)
177.ID	0.990
	(0.990)
178.ID	-1.953*
	(1.037)
179.ID	-0
	(1.402)
183.ID	-0.775
